probe	HUGO.gene.symbol	Chromosome	Start
NM_005300	NM_005300	GPR34	chrX	41548226
NM_006056	NM_006056	NMUR1	chr2	232387871
NM_005329	NM_005329	HAS3	chr16	69141443
NM_013365	NM_013365	GGA1	chr22	38004481
NM_005365	NM_005365	MAGEA9	chrX	148663309
Contig28760_RC	Contig28760_RC	CDK6	chr7	92234235
NM_003924	NM_003924	PHOX2B	chr4	41746099
AL109788	AL109788	PRDM15	chr21	43221325
Contig28143_RC	Contig28143_RC	ZNF182	chrX	47834250
Contig55372	Contig55372	ZADH2	chr18	72909278
AF212842	AF212842	LILRA5	chr19	54818353
Contig44651_RC	Contig44651_RC	UPP2	chr2	158958382
NM_006113	NM_006113	VAV3	chr1	108113782
NM_006125	NM_006125	ARHGAP6	chrX	11161517
Contig51667_RC	Contig51667_RC	PACRG	chr6	163149002
NM_005401	NM_005401	PTPN14	chr1	214522039
NM_005406	NM_005406	ROCK1	chr18	18529703
X82693	X82693	LY6D	chr8	143866298
NM_006143	NM_006143	GPR19	chr12	12813995
NM_013439	NM_013439	PILRA	chr7	99971068
NM_006149	NM_006149	LGALS4	chr19	39292311
NM_005422	NM_005422	TECTA	chr11	120973375
NM_005425	NM_005425	TNP2	chr16	11361714
NM_005429	NM_005429	VEGFC	chr4	177604691
Contig51802_RC	Contig51802_RC	SGCB	chr4	52886861
NM_014180	NM_014180	MRPL22	chr5	154320633
AF000974	AF000974	TRIP6	chr7	100464950
NM_006191	NM_006191	PA2G4	chr12	56498103
NM_004735	NM_004735	LRRFIP1	chr2	238600807
NM_004736	NM_004736	XPR1	chr1	180601146
AF231023	AF231023	CELSR3	chr3	48673896
NM_004745	NM_004745	DLGAP2	chr8	1449569
NM_005475	NM_005475	SH2B3	chr12	111843752
AF182814	AF182814	MAT2B	chr5	162930231
NM_005495	NM_005495	SLC17A4	chr6	25754927
NM_004780	NM_004780	TCEAL1	chrX	102883892
NM_004786	NM_004786	TXNL1	chr18	54270053
D28476	D28476	TRIP12	chr2	230631930
Contig31239_RC	Contig31239_RC	VPS13C	chr15	62156505
NM_014205	NM_014205	ZNHIT2	chr11	64883875
NM_014246	NM_014246	CELSR1	chr22	46756731
NM_005500	NM_005500	SAE1	chr19	47634115
NM_006237	NM_006237	POU4F1	chr13	79173230
NM_005509	NM_005509	DMXL1	chr5	118407084
NM_006241	NM_006241	PPP1R2	chr3	195241221
NM_014263	NM_014263	YME1L1	chr10	27399040
Contig33302_RC	Contig33302_RC	PKHD1	chr6	51480145
NM_004839	NM_004839	HOMER2	chr15	83517729
Contig22485_RC	Contig22485_RC	CNTNAP3	chr9	39072764
NM_005570	NM_005570	LMAN1	chr18	56995056
NM_004885	NM_004885	NPFFR2	chr4	72904849
NM_004889	NM_004889	ATP5J2	chr7	99055784
AB029015	AB029015	PLCL2	chr3	16974582
Contig55838_RC	Contig55838_RC	NTRK2	chr9	87283466
NM_014302	NM_014302	SEC61G	chr7	54819940
NM_007015	NM_007015	LECT1	chr13	53277400
NM_006301	NM_006301	MAP3K12	chr12	53874276
NM_007033	NM_007033	RER1	chr1	2323214
NM_007044	NM_007044	KATNA1	chr6	149916011
NM_007048	NM_007048	BTN3A1	chr6	26402465
NM_007052	NM_007052	NOX1	chrX	100098313
NM_005618	NM_005618	DLL1	chr6	170591294
NM_014370	NM_014370	SRPK3	chrX	153046456
NM_006353	NM_006353	HMGN4	chr6	26538572
NM_014386	NM_014386	PKD2L2	chr5	137225125
NM_005644	NM_005644	TAF12	chr1	28929609
AK000004	AK000004	FGD3	chr9	95709601
NM_020974	NM_020974	SCUBE2	chr11	9041047
NM_005690	NM_005690	DNM1L	chr12	32832137
NM_005694	NM_005694	COX17	chr3	119388372
Contig32771_RC	Contig32771_RC	SLC23A3	chr2	220026181
NM_004986	NM_004986	KTN1	chr14	56046925
Contig54613_RC	Contig54613_RC	ZFAND1	chr8	82613566
Contig48052_RC	Contig48052_RC	GSG1	chr12	13236471
AL080078	AL080078	TMEM30B	chr14	61744089
Contig46937_RC	Contig46937_RC	CLIC6	chr21	36041688
Contig28364_RC	Contig28364_RC	EFCAB5	chr17	28268623
Contig54698_RC	Contig54698_RC	THRB	chr3	24158645
NM_007123	NM_007123	USH2A	chr1	216347292
NM_006414	NM_006414	RPP38	chr10	15139179
NM_006441	NM_006441	MTHFS	chr15	80135889
Contig50689_RC	Contig50689_RC	ANKRA2	chr5	72848025
M29873	M29873	CYP2B6	chr19	41497204
M29874	M29874	CYP2B6	chr19	41497204
NM_014496	NM_014496	RPS6KA6	chrX	83313354
Contig56259_RC	Contig56259_RC	ADAMTS9	chr3	64501331
NM_005764	NM_005764	PDZK1IP1	chr1	47649261
AL110236	AL110236	CREBZF	chr11	85368608
Contig54321_RC	Contig54321_RC	DHX33	chr17	5344232
AB011163	AB011163	KIF1B	chr1	10270764
NM_014515	NM_014515	CNOT2	chr12	70637494
Contig50177_RC	Contig50177_RC	PCGF6	chr10	105062553
NM_006536	NM_006536	CLCA2	chr1	86889769
NM_005814	NM_005814	GPA33	chr1	167022082
NM_014564	NM_014564	LHX3	chr9	139088096
NM_006552	NM_006552	SCGB1D1	chr11	61957710
NM_006566	NM_006566	CD226	chr18	67530193
NM_014586	NM_014586	HUNK	chr21	33245628
NM_005896	NM_005896	IDH1	chr2	209100953
Contig27085_RC	Contig27085_RC	UROC1	chr3	126200008
Contig36803_RC	Contig36803_RC	SNX22	chr15	64443916
Contig45543_RC	Contig45543_RC	MARCH9	chr12	58148881
NM_016028	NM_016028	SUV420H1	chr11	67923507
NM_016039	NM_016039	C14orf166	chr14	52456228
NM_006601	NM_006601	PTGES3	chr12	57057125
NM_016083	NM_016083	CNR1	chr6	88849585
NM_016087	NM_016087	WNT16	chr7	120965421
NM_006614	NM_006614	CHL1	chr3	238279
NM_005904	NM_005904	SMAD7	chr18	46446223
NM_006640	NM_006640	SEPT9	chr17	75315597
NM_015392	NM_015392	NPDC1	chr9	139933909
Contig20875_RC	Contig20875_RC	CMTM5	chr14	23846017
AK001022	AK001022	ISL2	chr15	76629147
NM_014694	NM_014694	ADAMTSL2	chr9	136399975
NM_006681	NM_006681	NMU	chr4	56461398
AK001031	AK001031	TBX2	chr17	59477257
NM_013984	NM_013984	NRG2	chr5	139226364
AK001043	AK001043	ILKAP	chr2	239079043
NM_006696	NM_006696	BRD8	chr5	137475459
AL355720	AL355720	AGPAT3	chr21	45285116
Contig51449_RC	Contig51449_RC	RAB15	chr14	65412532
AF053712	AF053712	TNFSF11	chr13	43148291
Contig25343_RC	Contig25343_RC	B3GALNT2	chr1	235610533
NM_014723	NM_014723	SNPH	chr20	1246960
Contig50232_RC	Contig50232_RC	DDX31	chr9	135469676
Contig43543_RC	Contig43543_RC	IKZF4	chr12	56414689
NM_006757	NM_006757	TNNT3	chr11	1940799
U92544	U92544	MAGED2	chrX	54835493
NM_006779	NM_006779	CDC42EP2	chr11	65082289
NM_006787	NM_006787	MAGED2	chrX	54835493
NM_006799	NM_006799	PRSS21	chr16	2867164
AF070530	AF070530	TICAM1	chr19	4815936
Contig38782_RC	Contig38782_RC	USP30	chr12	109490380
AL137362	AL137362	HDAC11	chr3	13521844
NM_016210	NM_016210	C3orf18	chr3	50595456
NM_016228	NM_016228	AADAT	chr4	170981373
NM_014820	NM_014820	TOMM70A	chr3	100082303
NM_006811	NM_006811	SERINC3	chr20	43127901
NM_015571	NM_015571	SENP6	chr6	76311622
NM_006839	NM_006839	IMMT	chr2	86371055
Contig50672_RC	Contig50672_RC	PARP8	chr5	49962772
Contig42653_RC	Contig42653_RC	SHD	chr19	4278598
NM_006843	NM_006843	SDS	chr12	113830251
AF070606	AF070606	ATP2B1	chr12	89981826
D79998	D79998	KCTD2	chr17	73043279
Contig51369_RC	Contig51369_RC	AFF3	chr2	100163716
AL137431	AL137431	WBSCR17	chr7	70597789
NM_016322	NM_016322	RAB14	chr9	123940415
NM_016337	NM_016337	EVL	chr14	100531751
Contig958_RC	Contig958_RC	ABHD6	chr3	58223259
NM_006900	NM_006900	IFNA1	chr9	21440453
NM_016382	NM_016382	CD244	chr1	160799950
Contig46477_RC	Contig46477_RC	GDAP1L1	chr20	42875898
Contig65663	Contig65663	BTRC	chr10	103113790
NM_014968	NM_014968	PITRM1	chr10	3179919
Contig35186_RC	Contig35186_RC	SNRPE	chr1	203830740
Contig50981_RC	Contig50981_RC	SFXN1	chr5	174905514
AL049338	AL049338	PTPRD	chr9	8314246
AB037720	AB037720	SH2B1	chr16	28875296
AB037749	AB037749	KIAA1328	chr18	34409080
NM_016456	NM_016456	TMEM9	chr1	201103900
NM_016483	NM_016483	PHF7	chr3	52444527
NM_016496	NM_016496	MARCH2	chr19	8478187
Contig36238_RC	Contig36238_RC	ATP6V1G1	chr9	117349994
AB037802	AB037802	COG1	chr17	71189173
Contig56390_RC	Contig56390_RC	SUSD3	chr9	95820989
Contig1829	Contig1829	ACADSB	chr10	124768429
Contig46070_RC	Contig46070_RC	ZDHHC22	chr14	77597613
Contig46062_RC	Contig46062_RC	TRPV4	chr12	110220892
NM_015832	NM_015832	MBD2	chr18	51677971
NM_015859	NM_015859	GTF2A1	chr14	81641796
AK002202	AK002202	SAP30BP	chr17	73663399
Contig3313	Contig3313	STEAP4	chr7	87905744
Contig25873_RC	Contig25873_RC	PIGK	chr1	77554667
S59184	S59184	RYK	chr3	133875978
NM_018047	NM_018047	RBM22	chr5	150070352
NM_015900	NM_015900	PLA1A	chr3	119316695
NM_016644	NM_016644	PRR16	chr5	119800019
Contig65900	Contig65900	HMGN3	chr6	79910962
Contig51483_RC	Contig51483_RC	SLC45A3	chr1	205626981
NM_015958	NM_015958	DPH5	chr1	101455180
Contig13722_RC	Contig13722_RC	WDR31	chr9	116077931
AF186780	AF186780	RGL1	chr1	183605208
Contig55954_RC	Contig55954_RC	PAK2	chr3	196466728
NM_018106	NM_018106	ZDHHC4	chr7	6617065
NM_018115	NM_018115	SDAD1	chr4	76871068
NM_018132	NM_018132	CENPQ	chr6	49431096
NM_017415	NM_017415	KLHL3	chr5	136953189
NM_017424	NM_017424	CECR1	chr22	17660194
Contig52543_RC	Contig52543_RC	C9orf116	chr9	138387026
NM_000040	NM_000040	APOC3	chr11	116700624
NM_000053	NM_000053	ATP7B	chr13	52506806
AB020681	AB020681	ANKRD12	chr18	9137561
AB020689	AB020689	TBC1D9	chr4	141541936
Contig42824_RC	Contig42824_RC	USP40	chr2	234384165
Contig45457_RC	Contig45457_RC	CYP4F12	chr19	15783828
Contig58325_RC	Contig58325_RC	VPS26B	chr11	134094561
AF007153	AF007153	ERBB4	chr2	212240442
AF014459	AF014459	RS1	chrX	18657808
Contig65966_RC	Contig65966_RC	CAMSAP1	chr9	138700333
NM_000125	NM_000125	ESR1	chr6	152128814
NM_000140	NM_000140	FECH	chr18	55212073
NM_017534	NM_017534	MYH2	chr17	10424465
NM_017541	NM_017541	CRYGS	chr3	186256232
NM_016823	NM_016823	CRK	chr17	1324647
NM_017559	NM_017559	FNDC8	chr17	33448631
NM_000170	NM_000170	GLDC	chr9	6532464
NM_000181	NM_000181	GUSB	chr7	65425673
NM_000182	NM_000182	HADHA	chr2	26413504
Contig34995_RC	Contig34995_RC	LRFN5	chr14	42076764
NM_019021	NM_019021	C11orf71	chr11	114262170
NM_018303	NM_018303	EXOC2	chr6	485138
Contig49910_RC	Contig49910_RC	TBC1D1	chr4	37892705
NM_019094	NM_019094	NUDT4	chr12	93771701
NM_018386	NM_018386	PCID2	chr13	113831853
NM_018394	NM_018394	ABHD10	chr3	111697828
NM_016953	NM_016953	PDE11A	chr2	178487977
NM_017688	NM_017688	BSPRY	chr9	116111812
AF234532	AF234532	MYO10	chr5	16662016
Contig40177_RC	Contig40177_RC	CDH26	chr20	58571417
Contig2915_RC	Contig2915_RC	COQ5	chr12	120941082
NM_001015	NM_001015	RPS11	chr19	49999622
NM_001045	NM_001045	SLC6A4	chr17	28523378
NM_001046	NM_001046	SLC12A2	chr5	127419483
NM_017703	NM_017703	FBXL12	chr19	9920943
NM_018455	NM_018455	CENPN	chr16	81040103
NM_018468	NM_018468	PSENEN	chr19	36236494
Contig43054	Contig43054	ZNF552	chr19	58318450
Contig56172_RC	Contig56172_RC	RNF38	chr9	36336399
Contig28723_RC	Contig28723_RC	SERAC1	chr6	158530536
AL050015	AL050015	ABHD14A	chr3	52009042
AL050018	AL050018	IBTK	chr6	82879956
U36759	U36759	PTCRA	chr6	42883727
NM_001144	NM_001144	AMFR	chr16	56395364
NM_000424	NM_000424	KRT5	chr12	52908359
Contig41943_RC	Contig41943_RC	CPLX3	chr15	75118951
NM_017828	NM_017828	COMMD4	chr15	75628374
NM_001177	NM_001177	ARL1	chr12	101786903
NM_000462	NM_000462	UBE3A	chr15	25582396
NM_000465	NM_000465	BARD1	chr2	215593275
NM_018584	NM_018584	CAMK2N1	chr1	20808884
NM_017856	NM_017856	GEMIN8	chrX	14024845
NM_017859	NM_017859	UCKL1	chr20	62571182
NM_000480	NM_000480	AMPD3	chr11	10477481
NM_017885	NM_017885	HCFC1R1	chr16	3072626
Contig3679_RC	Contig3679_RC	MFSD1	chr3	158519715
Contig25524_RC	Contig25524_RC	PLCXD3	chr5	41307048
AB014534	AB014534	ASTN2	chr9	119187504
NM_001216	NM_001216	CA9	chr9	35673915
NM_001218	NM_001218	CA12	chr15	63615730
Contig42761_RC	Contig42761_RC	DHRSX	chrX	2087555
NM_001245	NM_001245	SIGLEC6	chr19	52022784
NM_000524	NM_000524	HTR1A	chr5	63255875
NM_017918	NM_017918	CCDC109B	chr4	110481355
Contig55621_RC	Contig55621_RC	GPATCH3	chr1	27216979
NM_001267	NM_001267	CHAD	chr17	48541853
NM_000543	NM_000543	SMPD1	chr11	6411644
NM_000547	NM_000547	TPO	chr2	1418180
NM_000549	NM_000549	TSHB	chr1	115572415
NM_000555	NM_000555	DCX	chrX	110537007
NM_017942	NM_017942	BTBD1	chr15	83685181
NM_000560	NM_000560	CD53	chr1	111413821
NM_018685	NM_018685	ANLN	chr7	36429432
Contig42582	Contig42582	BNIPL	chr1	151009029
Contig58512_RC	Contig58512_RC	SFRP2	chr4	154701742
Contig12495_RC	Contig12495_RC	SLC26A7	chr8	92261516
AL050202	AL050202	MXRA8	chr1	1288071
AL050227	AL050227	PTGER3	chr1	71418115
NM_002051	NM_002051	GATA3	chr10	8096667
NM_002061	NM_002061	GCLM	chr1	94352590
NM_002063	NM_002063	GLRA2	chrX	14547420
NM_002072	NM_002072	GNAQ	chr9	80335191
Contig42592_RC	Contig42592_RC	CPA5	chr7	129984630
NM_000633	NM_000633	BCL2	chr18	60790579
NM_001375	NM_001375	DNASE2	chr19	12986025
NM_000661	NM_000661	RPL9	chr4	39455745
NM_001391	NM_001391	DTNA	chr18	32398302
NM_000662	NM_000662	NAT1	chr8	18067618
NM_001392	NM_001392	DTNA	chr18	32398302
NM_000666	NM_000666	ACY1	chr3	52017300
NM_001397	NM_001397	ECE1	chr1	21543740
Contig45717_RC	Contig45717_RC	MAP9	chr4	156263812
Contig46446_RC	Contig46446_RC	RAD18	chr3	8918880
Contig25915	Contig25915	EIF5A2	chr3	170606204
Contig48489_RC	Contig48489_RC	KIAA2018	chr3	113367233
Contig47645_RC	Contig47645_RC	LOH12CR1	chr12	12510020
NM_002103	NM_002103	GYS1	chr19	49471382
NM_001416	NM_001416	EIF4A1	chr17	7476024
NM_002149	NM_002149	HPCAL1	chr2	10443030
NM_002170	NM_002170	IFNA8	chr9	21409146
NM_000723	NM_000723	CACNB1	chr17	37333389
NM_002184	NM_002184	IL6ST	chr5	55230925
NM_001458	NM_001458	FLNC	chr7	128470483
NM_001467	NM_001467	SLC37A4	chr11	118895061
NM_000742	NM_000742	CHRNA2	chr8	27317278
NM_001481	NM_001481	GAS8	chr16	90089008
NM_000767	NM_000767	CYP2B6	chr19	41497204
Contig58301_RC	Contig58301_RC	SLC7A2	chr8	17396286
NM_002202	NM_002202	ISL1	chr5	50678958
NM_002213	NM_002213	ITGB5	chr3	124481795
NM_019602	NM_019602	BTNL2	chr6	3709956
NM_019609	NM_019609	CPXM1	chr20	2774715
NM_002220	NM_002220	ITPKA	chr15	41786056
NM_019612	NM_019612	IRGC	chr19	44220214
NM_019619	NM_019619	PARD3	chr10	34398488
NM_002238	NM_002238	KCNH1	chr1	210851657
NM_001521	NM_001521	GTF3C2	chr2	27548721
NM_001523	NM_001523	HAS1	chr19	52216365
NM_001539	NM_001539	DNAJA1	chr9	33025209
NM_001549	NM_001549	IFIT3	chr10	91092239
NM_018941	NM_018941	CLN8	chr8	1711870
NM_000854	NM_000854	GSTT2	chr22	24299601
Contig39935_RC	Contig39935_RC	PDGFD	chr11	103777914
NM_000885	NM_000885	ITGA4	chr2	182321619
NM_000891	NM_000891	KCNJ2	chr17	68165676
